,as_of,ticker
9012,2024-05-03,ROP
9016,2025-08-01,ROP
9017,2025-10-31,ROP
9141,2010-02-26,PRU
9183,2009-10-23,RTX
9503,2017-05-04,GPN
9523,2011-02-17,REGN
9765,2019-10-31,CTVA
9780,2011-03-01,GS
9786,2010-11-09,GS
9794,2011-05-10,GS
9804,2010-08-09,GS
9811,2011-11-09,GS
9836,2009-11-02,ROP
9946,2009-08-10,JPM
9947,2019-11-06,CVS
9954,2011-02-28,JPM
9960,2009-09-04,SPG
9961,2009-11-05,SPG
9962,2010-05-10,SPG
9963,2010-08-06,SPG
9964,2010-11-05,SPG
9965,2011-02-25,SPG
9966,2011-05-06,SPG
9967,2012-02-28,SPG
9968,2012-08-08,SPG
9969,2012-11-07,SPG
9970,2013-02-28,SPG
9985,2010-11-09,JPM
9986,2013-05-08,SPG
9987,2013-08-07,SPG
9988,2013-11-06,SPG
9989,2015-05-07,SPG
9990,2015-08-05,SPG
9994,2012-08-09,JPM
10007,2012-11-08,JPM
10017,2013-02-28,JPM
10032,2013-08-07,JPM
10044,2014-02-20,JPM
10048,2015-05-05,JPM
10049,2015-08-03,JPM
10060,2016-02-23,JPM
10070,2015-11-02,JPM
10104,2022-08-03,JPM
10125,2024-02-16,JPM
10134,2024-05-01,JPM
10138,2024-08-02,JPM
10147,2025-02-14,JPM
10158,2025-05-01,JPM
10159,2025-08-05,JPM
10169,2025-11-04,JPM
10180,2026-02-13,JPM
10181,2026-05-01,JPM
10200,2021-05-04,D
10201,2021-08-06,D
10202,2021-11-05,D
10206,2022-05-05,D
10207,2022-08-08,D
10210,2010-02-17,PFG
10212,2022-11-04,D
10213,2023-11-08,D
10214,2024-08-01,D
10216,2025-08-01,D
10221,2025-05-01,D
10225,2025-10-31,D
10237,2026-05-01,D
10238,2010-08-02,DAL
10239,2010-10-25,DAL
10240,2011-03-04,DAL
10252,2012-02-10,DAL
10259,2011-10-25,DAL
10260,2012-04-25,DAL
10261,2012-07-25,DAL
10262,2012-10-26,DAL
10302,2021-11-04,FRT
10409,2022-05-05,FRT
10415,2022-08-04,FRT
10474,2010-03-11,PNC
10481,2022-11-03,FRT
10516,2011-02-23,PNR
10604,2023-05-04,FRT
10644,2023-08-02,FRT
10645,2014-09-05,SYF
10646,2014-10-31,SYF
10647,2015-02-23,SYF
10657,2017-02-23,SYF
10658,2017-05-01,SYF
10659,2017-07-28,SYF
10662,2017-10-26,SYF
10663,2018-02-22,SYF
10664,2020-07-23,SYF
10665,2020-10-22,SYF
10675,2022-02-10,SYF
10676,2022-04-21,SYF
10686,2025-02-07,SYF
10687,2025-04-24,SYF
10716,2023-11-02,FRT
10739,2024-02-12,FRT
10758,2024-05-02,FRT
10820,2024-08-01,FRT
10957,2010-11-04,TAP
10959,2024-10-30,FRT
10961,2011-02-22,TAP
10988,2010-08-06,RJF
11061,2015-11-06,KHC
11115,2026-02-06,SYF
11127,2009-10-22,DHR
11213,2025-02-13,FRT
11275,2011-03-25,DLR
11276,2010-08-12,DLR
11281,2011-08-05,DLR
11282,2011-11-07,DLR
11283,2012-02-28,DLR
11286,2012-05-07,DLR
11287,2012-08-07,DLR
11288,2012-11-08,DLR
11289,2013-02-28,DLR
11290,2013-05-08,DLR
11293,2013-08-08,DLR
11294,2014-08-07,DLR
11295,2014-11-07,DLR
11300,2016-02-29,DLR
11301,2015-05-08,DLR
11305,2015-08-06,DLR
11306,2015-11-06,DLR
11307,2016-05-06,DLR
11308,2017-05-10,DLR
11309,2018-05-08,DLR
11310,2018-08-07,DLR
11311,2018-11-02,DLR
11316,2019-05-10,DLR
11317,2019-08-07,DLR
11322,2019-11-08,DLR
11323,2020-03-02,DLR
11329,2021-05-07,DLR
11330,2021-08-06,DLR
11331,2011-11-14,TER
11335,2021-11-05,DLR
11336,2022-02-25,DLR
11337,2022-05-06,DLR
11338,2022-08-05,DLR
11339,2022-11-04,DLR
11340,2023-02-27,DLR
11341,2023-05-04,DLR
11342,2023-08-04,DLR
11347,2023-11-09,DLR
11354,2024-02-23,DLR
11358,2024-05-03,DLR
11359,2024-08-02,DLR
11360,2024-11-01,DLR
11361,2025-05-01,DLR
11362,2025-08-01,DLR
11363,2025-10-31,DLR
11364,2026-02-13,DLR
11365,2026-05-01,DLR
11395,2010-02-25,SCHW
11435,2017-04-24,TFC
11436,2017-07-28,TFC
11441,2017-10-27,TFC
11446,2020-05-08,KIM
11447,2018-02-21,TFC
11451,2020-08-07,KIM
11458,2025-05-08,FRT
11462,2018-04-30,TFC
11467,2009-11-03,DOC
11468,2010-04-27,DOC
11469,2021-11-05,KIM
11470,2022-04-29,KIM
11475,2011-10-31,DOC
11476,2011-05-03,DOC
11477,2022-07-29,KIM
11482,2024-11-01,TFC
11483,2025-10-30,TFC
11485,2010-08-03,DOC
11486,2010-11-02,DOC
11487,2011-02-15,DOC
11488,2012-02-14,DOC
11489,2025-02-21,KIM
